"%1$s incl tax.","%1$s incl. impuestos."
"* Required Fields","* Campos requeridos"
"-- Select --","-- Seleccionar --"
"Add New Option","Añadir nueva opción"
"Add Gift Card","Agregar tarjeta de regalo"
"Add Selection","Añadir selección"
"As Low as","Tan bajo como"
"As low as","Tan bajo como"
"Bundle Items","Elementos en paquete"
"Bundle Product","Artículos en paquete"
"Bundle Product View Summary","Paquete de artículos Ver resumen"
"Buy %1$s","Compra %1$s"
"Buy %1$s for","Compra %1$s con"
"Buy %1$s for %2$s","Compra %1$s con %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compra %1$s con %2$s (%3$s incl. impuestos) cada uno"
"Buy %1$s for %2$s each","Compra %1$s con %2$s cada uno"
"Buy %1$s with %2$s discount each","Compra %1$s con %2$s de descuento cada uno"
"Catalog Product View (Bundle)","Ver catálogo de artículos (paquete)"
"Checkbox","Casilla de verificación"
"Choose a selection...","Eliga una selección..."
"Click for price","Clic para precio"
"Close","Cerrar"
"Created","Creado"
"Rating","Evaluación"
"Check Out with Multiple Addresses","Pago con multiples envíos"
"Default","Predeterminada"
"Default Qty","Cantidad (predeterminado)"
"Default Title","Título (predeterminado)"
"Drop-down","Lista desplegable"
"Dynamic","Dinámico"
"Excl. Tax","Impuestos no incluidos"
"Excl. Tax:","Impuestos no incluidos:"
"Fixed","Costos fijos"
"Flat Rate","Tarifa"
"From","desde"
"From:","desde:"
"Gift Message","Mensaje de regalo"
"Gift Cards","Tarjeta de regalo"
"Incl. Tax","Impuestos incluidos"
"Incl. Tax:","Impuestos incluidos:"
"Input Type","Introducir tipo"
"Is Required","Se requiere"
"Message:","Mensaje:"
"Multiple Select","Selección múltiple"
"N/A","N/D"
"No options of this product are available.","No hay opciones disponibles de este artículo."
"None","Ninguno"
"Percent","Porcentaje"
"Percent Discount","Descuento porcentaje"
"Please Select Products to Add","Por favor, seleccione los artículo que se va a añadir."
"Please enter a number greater 0 in this field.","Por favor, introduzca un número superior a 0 en este campo."
"Please enter search conditions to view products.","Por favor, indique las condiciones de búsqueda para ver artículos."
"Please select options for product.","Por favor, seleccione opciones para el artículo."
"Please specify product option(s).","Por favor, especifique opción(es) del artículo."
"Position","Posición"
"Price Range","Rango de precio"
"Price Type","Tipo de precio"
"Price as configured","Precio según configuración"
"Please select a region, state or province","Estado"
"Qty:","Cantidad:"
"Radio Buttons","Botones de selección"
"Required options are not selected.","Opciones requeridas no se han seleccionadas."
"SKU","SKU (Número de Referencia)"
"Selected required options are not available.","Las opciones requeridas seleccionadas no están disponibles."
"Separately","Por separado"
"Ship Bundle Items","Enviar artículos en paquete"
"Shipment","Envío"
"Store View Title","Título de vista de tienda"
"There is no defined renderer for ""%s"" option type.","No hay un visualizador definido para el tipo de opción ""%s""."
"This product is also part of bundle(s)","Este artículo es también parte de un(os) paquete(s)"
"To","hasta"
"To:","hasta:"
"Together","Juntos"
